date,Hong_Kong,United_Kingdom
2021-02-22,4842.0,145451.0
2021-02-23,4842.0,145862.0
2021-02-24,4842.0,146240.0
2021-02-25,4843.0,146619.0
2021-02-26,4843.0,146985.0
2021-02-27,4843.0,147340.0
2021-02-28,4843.0,147643.0
2021-03-01,4844.0,147951.0
2021-03-02,4845.0,148231.0
2021-03-03,4845.0,148527.0
2021-03-04,4845.0,148770.0
2021-03-05,4846.0,148988.0
2021-03-06,4846.0,149222.0
2021-03-07,4848.0,149444.0
2021-03-08,4848.0,149653.0
2021-03-09,4848.0,149850.0
2021-03-10,4848.0,150047.0
2021-03-11,4849.0,150231.0
2021-03-12,4849.0,150392.0
2021-03-13,4849.0,150565.0
2021-03-14,4849.0,150700.0
2021-03-15,4849.0,150835.0
2021-03-16,4849.0,150973.0
2021-03-17,4849.0,151112.0
2021-03-18,4849.0,151226.0
2021-03-19,4849.0,151353.0
2021-03-20,4849.0,151453.0
2021-03-21,4849.0,151557.0
2021-03-22,4849.0,151658.0
2021-03-23,4849.0,151785.0
2021-03-24,4850.0,151892.0
2021-03-25,4850.0,151987.0
2021-03-26,4850.0,152057.0
2021-03-27,4851.0,152136.0
2021-03-28,4851.0,152211.0
2021-03-29,4851.0,152276.0
2021-03-30,4851.0,152326.0
2021-03-31,4851.0,152397.0
2021-04-01,4851.0,152453.0
2021-04-02,4851.0,152526.0
2021-04-03,4851.0,152589.0
2021-04-04,4851.0,152639.0
2021-04-05,4851.0,152681.0
2021-04-06,4851.0,152734.0
2021-04-07,4851.0,152779.0
2021-04-08,4851.0,152824.0
2021-04-09,4851.0,152870.0
2021-04-10,4853.0,152931.0
2021-04-11,4853.0,152969.0
2021-04-12,4854.0,153012.0
2021-04-13,4854.0,153053.0
2021-04-14,4855.0,153091.0
2021-04-15,4856.0,153138.0
2021-04-16,4856.0,153173.0
2021-04-17,4856.0,153216.0
2021-04-18,4856.0,153248.0
2021-04-19,4856.0,153290.0
2021-04-20,4856.0,153321.0
2021-04-21,4856.0,153343.0
2021-04-22,4856.0,153378.0
2021-04-23,4856.0,153414.0
2021-04-24,4856.0,153447.0
2021-04-25,4856.0,153476.0
